y4_hhid,feafetpf,znafetpf,vaafetpf,folafetpf,vb12afetpf,feafetff,znafetff,vaafetff,folafetff,vb12afetff
1000-001,14.545147376465188,8.5169190461142,200.74391738377878,372.69526502065975,1.1188950915853033,15.526712124666627,9.823802396576689,380.3878022758651,416.5136822868468,1.4442136938463517
1001-001,16.106754837400157,7.771733714937103,272.1919189325656,321.9481434941453,1.4981794706937697,16.106754837400157,7.771733714937103,680.2385131796342,321.9481434941453,1.4981794706937697
1002-001,33.216668167917774,19.951776145674522,475.93006907714135,1176.5388200390476,2.249001183249877,33.58608397547791,20.443626906597448,772.8372855719867,1206.9702387921157,2.3714361366126653
1003-001,28.323317190767185,14.671301548082642,422.6980312202033,628.6003189027751,2.263516975882496,28.61683254912896,15.062096282358606,714.5683383874388,652.7792755093085,2.3607963517966843
1005-001,12.402485492366742,8.797308843694198,573.323312780721,341.62304499741606,2.2965799683883925,12.402485492366742,8.797308843694198,1085.198312780721,341.62304499741606,2.2965799683883925
1006-001,15.306227267217386,9.85675342560253,314.281505964444,453.8617400970513,1.4108698409247358,15.618273711339302,10.272220976919138,576.9796191719912,479.56723460254585,1.5142909481194278
1007-001,26.36374730080677,19.911198595695222,593.9570171528264,883.2534974633134,4.80493125140987,26.36374730080677,19.911198595695222,1242.7564147411535,883.2534974633134,4.80493125140987
1009-001,15.294125436250923,11.49152324409647,547.2775693246126,460.0305065987296,2.888624491470743,16.216634661343175,12.719778383790723,1151.7056136050553,460.0305065987296,3.1943704060727462
1019-001,26.846754450959686,16.94279233294908,757.9042390931075,701.8714888420296,20.251958660077793,28.52002177769236,19.170628259398867,1670.9141400832066,839.7104704544766,20.80652725979491
1020-001,24.612879072160144,19.619448094040195,669.8820183975384,622.591209384927,13.612729915529304,26.002286968346795,21.46934546439156,1331.7571659670102,737.0466621359368,14.073219389694021
1021-001,14.813277456139703,9.333909115915477,467.15976119605136,299.87832497791476,3.9030661285238097,14.813277456139703,9.333909115915477,808.7847611960515,299.87832497791476,3.9030661285238097
1022-001,22.424158349087342,14.439992169332665,487.8434085073249,527.8103890801505,7.308479785368421,24.36129285201132,17.01914839322573,792.0539348231144,657.2773899155724,7.950501506337511
1023-001,21.406432473227408,18.650309559753342,695.727881747926,403.217082106862,17.264661728026784,22.136015806560742,19.62169765499144,1243.580381747926,463.31807258305247,17.506466489931547
1024-001,31.93372782211448,14.035545717826293,701.344228293872,720.5433842696935,1.7989233932923463,34.23247498766748,17.096163372533997,1167.7536803540138,909.9076079189049,2.560793882447054
1025-001,23.854626048541558,13.25854356558279,592.7382421178772,564.8951294656051,6.89761718012987,24.422807866723375,14.015037072076298,965.4200602996954,564.8951294656051,7.085928868441559
1026-001,24.632347347759275,20.02963592249188,566.3650268539316,370.56740156463627,10.554698556439316,27.263469796738868,23.532787525990425,1212.6568635886256,482.2388651214876,11.426727710958266
1038-001,27.713066259099346,18.398120546656575,426.9438458680327,599.7016534147061,10.221203137482902,29.75112328980819,21.111647907543205,732.6117747528169,767.590968584413,10.89667346766069
1039-001,23.512600128335375,10.813953510309043,365.4236776704279,232.97431527451704,5.5218369503823945,24.59845871419396,12.259696656052189,824.0600413067915,322.4242431244449,5.881721510266955
1040-001,28.331107117205573,18.560567467103475,635.946513590768,572.743287596438,14.257735822103658,30.493236858448682,21.439288779730017,1146.209132524142,694.3104786204478,14.974327393487089
1041-001,35.57434786027393,22.913672859825386,926.5633206889954,989.8136263811393,5.357377024507043,36.373804523284534,23.97809230257665,1795.9922889490738,1055.6705821180587,5.6223398042477015
1042-001,28.663130196940934,20.891091092048814,963.5988805626486,567.3287714558793,7.423967352254965,33.65920643012479,27.543009733945038,1857.222198948299,794.1891430125737,9.07980976096733
1043-001,19.41605107904001,12.226788447717118,374.27794080287606,400.0560264879449,2.849915289390451,20.502576838617287,13.673419887611438,608.1352723748709,435.1506481146669,3.210020969707492
1044-001,15.947631101647126,10.96904319525828,463.32637499512214,359.6352306947427,3.516738632761701,16.57582960335652,11.805444628962789,788.5505830370694,411.3844284127007,3.7249415647568154
1045-001,0.22689075630252098,0.19447779111644659,0.9723889555822329,7.130852340936375,0,0.22689075630252098,0.19447779111644659,0.9723889555822329,7.130852340936375,0
1057-001,45.26356753246753,15.03322883766234,371.8638769196248,655.5466211375181,0,45.26356753246753,15.03322883766234,371.8638769196248,655.5466211375181,0
1058-001,24.273237956130036,14.58207323569217,220.69341528926583,662.1844307379116,13.75786971752685,24.273237956130036,14.58207323569217,362.8316306966185,662.1844307379116,13.75786971752685
1059-001,38.90626688484818,24.78597247350655,333.4783213308509,812.2645570362024,7.416216834352013,38.90626688484818,24.78597247350655,333.4783213308509,812.2645570362024,7.416216834352013
1060-001,27.629915524453022,12.19454474903475,156.84465209539897,497.9437882939189,0,27.629915524453022,12.19454474903475,156.84465209539897,497.9437882939189,0
1061-001,81.32805262641139,15.336398669612175,158.43873146649483,217.5929676226068,0.9729749631811487,81.32805262641139,15.336398669612175,158.43873146649483,217.5929676226068,0.9729749631811487
1062-001,23.49126672355704,17.274083770780706,246.74631584189848,326.6519302469605,8.926664717153113,23.49126672355704,17.274083770780706,246.74631584189848,326.6519302469605,8.926664717153113
1063-001,20.002618645585756,12.797207276469656,229.04340647965572,327.39685209078664,4.996221739994053,20.002618645585756,12.797207276469656,359.3435427759199,327.39685209078664,4.996221739994053
1064-001,71.85551131900708,24.839099020843452,584.9144179678432,513.794925650999,8.330632106575397,71.85551131900708,24.839099020843452,983.4769179678433,513.794925650999,8.330632106575397
1076-001,16.524737388868655,9.054653440705287,215.76029120061494,313.0417415300992,0,16.524737388868655,9.054653440705287,453.6690354668727,313.0417415300992,0
1077-001,10.934104418153822,8.582500011694615,465.30592236028383,241.14517892790712,2.970858160451467,10.934104418153822,8.582500011694615,835.0576153625412,241.14517892790712,2.970858160451467
1078-001,31.73581942603067,18.94625538325343,588.3509877359835,750.5858977230412,4.072977800963203,31.73581942603067,18.94625538325343,1001.987351372347,750.5858977230412,4.072977800963203
1079-001,48.36017473109474,21.053974924756364,644.6504981855062,741.0083333867385,11.754825557299066,48.80109183867851,21.641024559425045,933.5393870743951,741.0083333867385,11.900958084383975
1080-001,15.838653626750288,10.078228750189332,212.02915705872576,277.0375571953061,8.395394026749425,15.838653626750288,10.078228750189332,342.1561663134749,277.0375571953061,8.395394026749425
1081-001,19.483762483830084,16.12719079752435,572.4286722258765,242.13997920759957,5.816241692938311,22.207626120193723,19.75382066765422,1227.9559449531494,310.5067670863874,6.719007926704545
1082-001,29.51372091949756,23.657426402037146,664.5120783256978,503.0068012114211,21.22226297818045,29.51372091949756,23.657426402037146,966.5804993783294,503.0068012114211,21.22226297818045
1083-001,4.912968630756207,5.1050384317971895,267.90965444654665,99.91884618465575,2.0326724017704914,4.912968630756207,5.1050384317971895,536.7293265776942,99.91884618465575,2.0326724017704914
1095-001,28.305170441582536,15.133058831606764,355.51545686007677,862.258913854942,2.0439951794952043,28.305170441582536,15.133058831606764,355.51545686007677,862.258913854942,2.0439951794952043
1096-001,8.126474275697511,5.5775446508718884,97.68655367169102,147.24269031076568,0.9810433486715366,8.47010590448539,6.035065619486607,114.51041730805464,175.55008208565744,1.0949326884983765
1097-001,4.329656712523497,2.7723392659774437,6.892230577067669,65.26009753183742,0,4.329656712523497,2.7723392659774437,6.892230577067669,65.26009753183742,0
1098-001,5.168849879691283,3.3515738491222766,8.32324455281477,78.69249395429783,0,5.168849879691283,3.3515738491222766,8.32324455281477,78.69249395429783,0
1099-001,17.042034218448656,10.889097907478462,27.066997271217474,256.3423653600615,0,17.042034218448656,10.889097907478462,27.066997271217474,256.3423653600615,0
1100-001,17.00633618811272,10.248671373074544,433.2414729121394,343.1661788731215,2.6889238886105886,17.00633618811272,10.248671373074544,589.831186025559,343.1661788731215,2.6889238886105886
1101-001,15.244202358537914,10.306333527234315,357.52562636534486,376.1187399447386,1.6924753313999823,15.244202358537914,10.306333527234315,971.4714013170153,376.1187399447386,1.6924753313999823
1102-001,5.067624418904403,4.406776663164608,88.17529546157358,90.28738834307732,1.165347899511278,5.067624418904403,4.406776663164608,88.17529546157358,90.28738834307732,1.165347899511278
1115-001,12.353070516007163,9.033540060115854,456.99062209705386,246.65347057208987,2.067976312647201,12.659953961953109,9.442133448146743,1140.3399464213783,271.93365203927135,2.1696862547321425
1116-001,15.713799248153931,8.473207063555396,256.7697579532974,359.40880822042794,0.618777429036806,16.280611475228167,9.227877057317093,465.50687585722756,406.10118002329756,0.806635195724267
1118-001,15.68364698540827,9.203239078382593,229.83444007989493,441.47770726908766,0.2657862341685649,15.68364698540827,9.203239078382593,416.5998159341091,441.47770726908766,0.2657862341685649
