y4_hhid,domain,strataid,clusterid,clustertype,y4_weights,regcode,regname,discode,disname,intdy,intmo,intyr
1152-001,1,13,70106204019,2,1739.14440917969,7,DAR ES SALAAM,1,KINONDONI,3,1,2015
1153-001,1,13,70106204019,2,1739.14440917969,7,DAR ES SALAAM,1,KINONDONI,11,1,2015
1154-001,1,13,70106204019,2,1739.14440917969,7,DAR ES SALAAM,1,KINONDONI,3,1,2015
1155-001,1,13,70106204019,2,1739.14440917969,7,DAR ES SALAAM,1,KINONDONI,3,1,2015
1156-001,1,13,70106204019,2,1739.14440917969,7,DAR ES SALAAM,1,KINONDONI,3,1,2015
1158-001,1,13,70106204019,2,1739.14440917969,7,DAR ES SALAAM,1,KINONDONI,3,1,2015
1159-001,1,13,70106204019,2,1739.14440917969,7,DAR ES SALAAM,1,KINONDONI,2,1,2015
1162-001,1,13,70106204019,2,1739.14440917969,7,DAR ES SALAAM,1,KINONDONI,2,1,2015
1171-001,1,13,70110201004,2,1754.00915527344,7,DAR ES SALAAM,1,KINONDONI,28,1,2015
1172-001,1,13,70110201004,2,1754.00915527344,7,DAR ES SALAAM,1,KINONDONI,27,1,2015
1173-001,1,13,70110201004,2,1754.00915527344,7,DAR ES SALAAM,1,KINONDONI,28,1,2015
1174-001,1,13,70110201004,2,1754.00915527344,7,DAR ES SALAAM,1,KINONDONI,28,1,2015
1175-001,1,13,70110201004,2,1754.00915527344,7,DAR ES SALAAM,1,KINONDONI,28,1,2015
1176-001,1,13,70110201004,2,1754.00915527344,7,DAR ES SALAAM,1,KINONDONI,28,1,2015
1177-001,1,13,70110201004,2,1754.00915527344,7,DAR ES SALAAM,1,KINONDONI,28,1,2015
1179-001,1,13,70110201004,2,1754.00915527344,7,DAR ES SALAAM,1,KINONDONI,29,1,2015
1191-001,1,13,70111204032,2,3592.51098632813,7,DAR ES SALAAM,1,KINONDONI,7,1,2015
1192-001,1,13,70111204032,2,3592.51098632813,7,DAR ES SALAAM,1,KINONDONI,6,1,2015
1193-001,1,13,70111204032,2,3592.51098632813,7,DAR ES SALAAM,1,KINONDONI,6,1,2015
1194-001,1,13,70111204032,2,3592.51098632813,7,DAR ES SALAAM,1,KINONDONI,7,1,2015
1195-001,1,13,70111204032,2,3592.51098632813,7,DAR ES SALAAM,1,KINONDONI,6,1,2015
1196-001,1,13,70111204032,2,3592.51098632813,7,DAR ES SALAAM,1,KINONDONI,6,1,2015
1198-001,1,13,70111204032,2,3592.51098632813,7,DAR ES SALAAM,1,KINONDONI,6,1,2015
1201-001,1,13,70111204032,2,3592.51098632813,7,DAR ES SALAAM,1,KINONDONI,6,1,2015
1209-001,1,13,70114201007,2,4581.8427734375,7,DAR ES SALAAM,1,KINONDONI,3,2,2015
1210-001,1,13,70114201007,2,4581.8427734375,7,DAR ES SALAAM,1,KINONDONI,3,2,2015
1211-001,1,13,70114201007,2,4581.8427734375,7,DAR ES SALAAM,1,KINONDONI,4,2,2015
