y4_hhid,domain,strataid,clusterid,clustertype,y4_weights
1705-001,1,13,70321205089,2,2123.22338867188
1706-001,1,13,70321205089,2,2123.22338867188
1707-001,1,13,70321205089,2,2123.22338867188
1708-001,1,13,70321205089,2,2123.22338867188
1709-001,1,13,70321205089,2,2123.22338867188
1710-001,1,13,70321205089,2,2123.22338867188
1723-001,1,13,70326201027,2,1368.57568359375
1724-001,1,13,70326201027,2,1368.57568359375
1725-001,1,13,70326201027,2,1368.57568359375
1726-001,1,13,70326201027,2,1368.57568359375
1728-001,1,13,70326201027,2,1368.57568359375
1729-001,1,13,70326201027,2,1368.57568359375
1732-001,1,13,70326201027,2,1368.57568359375
1733-001,1,13,70326201027,2,1368.57568359375
1741-001,1,13,70327205043,2,1919.099609375
1743-001,1,13,70327205043,2,1919.099609375
1744-001,1,13,70327205043,2,1919.099609375
1745-001,1,13,70327205043,2,1919.099609375
1746-001,1,13,70327205043,2,1919.099609375
1747-001,1,13,70327205043,2,1919.099609375
1748-001,1,13,70327205043,2,1919.099609375
1749-001,1,13,70327205043,2,1919.099609375
1761-001,1,13,70329201020,2,2360.3857421875
1762-001,1,13,70329201020,2,2360.3857421875
1763-001,1,13,70329201020,2,2360.3857421875
1764-001,1,13,70329201020,2,2360.3857421875
1765-001,1,13,70329201020,2,2360.3857421875
1766-001,1,13,70329201020,2,2360.3857421875
1768-001,1,13,70329201020,2,2360.3857421875
1771-001,1,13,70329201020,2,2360.3857421875
1779-001,3,2,10112101001,1,6429.44482421875
1780-001,3,2,10112101001,1,6429.44482421875
1781-001,3,2,10112101001,1,6429.44482421875
1782-001,3,2,10112101001,1,6429.44482421875
1783-001,3,2,10112101001,1,6429.44482421875
1784-001,3,2,10112101001,1,6429.44482421875
1785-001,3,2,10112101001,1,6429.44482421875
1786-001,3,2,10112101001,1,6429.44482421875
1798-001,3,2,10310104002,1,8277.49609375
1799-001,3,2,10310104002,1,8277.49609375
1800-001,3,2,10310104002,1,8277.49609375
1801-001,3,2,10310104002,1,8277.49609375
1802-001,3,2,10310104002,1,8277.49609375
1803-001,3,2,10310104002,1,8277.49609375
1804-001,3,2,10310104002,1,8277.49609375
1805-001,3,2,10310104002,1,8277.49609375
1817-001,2,1,10504205005,2,7383.26318359375
1818-001,2,1,10504205005,2,7383.26318359375
1819-001,2,1,10504205005,2,7383.26318359375
1820-001,2,1,10504205005,2,7383.26318359375
1821-001,2,1,10504205005,2,7383.26318359375
1822-001,2,1,10504205005,2,7383.26318359375
1823-001,2,1,10504205005,2,7383.26318359375
1824-001,2,1,10504205005,2,7383.26318359375
1836-001,3,2,10510101002,1,5011.033203125
1837-001,3,2,10510101002,1,5011.033203125
1838-001,3,2,10510101002,1,5011.033203125
1839-001,3,2,10510101002,1,5011.033203125
1840-001,3,2,10510101002,1,5011.033203125
1841-001,3,2,10510101002,1,5011.033203125
1842-001,3,2,10510101002,1,5011.033203125
1843-001,3,2,10510101002,1,5011.033203125
1855-001,3,2,10709102017,1,6886.97119140625
1856-001,3,2,10709102017,1,6886.97119140625
1857-001,3,2,10709102017,1,6886.97119140625
1858-001,3,2,10709102017,1,6886.97119140625
1859-001,3,2,10709102017,1,6886.97119140625
1860-001,3,2,10709102017,1,6886.97119140625
1861-001,3,2,10709102017,1,6886.97119140625
1862-001,3,2,10709102017,1,6886.97119140625
1874-001,3,49,250108101016,1,708.978271484375
1875-001,3,49,250108101016,1,708.978271484375
1876-001,3,49,250108101016,1,708.978271484375
1877-001,3,49,250108101016,1,708.978271484375
1878-001,3,49,250108101016,1,708.978271484375
1879-001,3,49,250108101016,1,708.978271484375
1880-001,3,49,250108101016,1,708.978271484375
1881-001,3,49,250108101016,1,708.978271484375
1893-001,3,49,250128302003,1,4393.4150390625
1894-001,3,49,250128302003,1,4393.4150390625
1896-001,3,49,250128302003,1,4393.4150390625
1897-001,3,49,250128302003,1,4393.4150390625
1898-001,3,49,250128302003,1,4393.4150390625
1899-001,3,49,250128302003,1,4393.4150390625
1900-001,3,49,250128302003,1,4393.4150390625
1902-001,3,49,250128302003,1,4393.4150390625
1912-001,2,48,250135212001,2,3922.84936523438
1913-001,2,48,250135212001,2,3922.84936523438
1914-001,2,48,250135212001,2,3922.84936523438
1915-001,2,48,250135212001,2,3922.84936523438
1916-001,2,48,250135212001,2,3922.84936523438
1917-001,2,48,250135212001,2,3922.84936523438
1918-001,2,48,250135212001,2,3922.84936523438
1922-001,2,48,250135212001,2,3922.84936523438
1931-001,3,49,250304101001,1,3287.8349609375
1932-001,3,49,250304101001,1,3287.8349609375
1933-001,3,49,250304101001,1,3287.8349609375
1934-001,3,49,250304101001,1,3287.8349609375
1935-001,3,49,250304101001,1,3287.8349609375
1936-001,3,49,250304101001,1,3287.8349609375
1937-001,3,49,250304101001,1,3287.8349609375
1938-001,3,49,250304101001,1,3287.8349609375
1950-001,3,49,250501303006,1,3203.53149414063
1951-001,3,49,250501303006,1,3203.53149414063
1952-001,3,49,250501303006,1,3203.53149414063
1953-001,3,49,250501303006,1,3203.53149414063
1954-001,3,49,250501303006,1,3203.53149414063
1955-001,3,49,250501303006,1,3203.53149414063
1956-001,3,49,250501303006,1,3203.53149414063
1957-001,3,49,250501303006,1,3203.53149414063
1969-001,3,21,110118104003,1,3352.97192382813
1970-001,3,21,110118104003,1,3352.97192382813
1971-001,3,21,110118104003,1,3352.97192382813
1972-001,3,21,110118104003,1,3352.97192382813
1973-001,3,21,110118104003,1,3352.97192382813
1974-001,3,21,110118104003,1,3352.97192382813
1975-001,3,21,110118104003,1,3352.97192382813
1976-001,3,21,110118104003,1,3352.97192382813
1988-001,2,20,110211305307,2,1796.03234863281
1989-001,2,20,110211305307,2,1796.03234863281
1990-001,2,20,110211305307,2,1796.03234863281
1991-001,2,20,110211305307,2,1796.03234863281
1992-001,2,20,110211305307,2,1796.03234863281
1993-001,2,20,110211305307,2,1796.03234863281
1994-001,2,20,110211305307,2,1796.03234863281
1995-001,2,20,110211305307,2,1796.03234863281
2007-001,3,21,110217301001,1,3084.50805664063
2008-001,3,21,110217301001,1,3084.50805664063
2009-001,3,21,110217301001,1,3084.50805664063
2010-001,3,21,110217301001,1,3084.50805664063
2011-001,3,21,110217301001,1,3084.50805664063
2012-001,3,21,110217301001,1,3084.50805664063
2013-001,3,21,110217301001,1,3084.50805664063
2014-001,3,21,110217301001,1,3084.50805664063
2026-001,2,20,110313211001,2,2437.61352539063
2027-001,2,20,110313211001,2,2437.61352539063
2028-001,2,20,110313211001,2,2437.61352539063
2029-001,2,20,110313211001,2,2437.61352539063
2030-001,2,20,110313211001,2,2437.61352539063
2031-001,2,20,110313211001,2,2437.61352539063
2032-001,2,20,110313211001,2,2437.61352539063
2033-001,2,20,110313211001,2,2437.61352539063
2045-001,3,21,110409105003,1,3282.009765625
2046-001,3,21,110409105003,1,3282.009765625
2047-001,3,21,110409105003,1,3282.009765625
2048-001,3,21,110409105003,1,3282.009765625
2049-001,3,21,110409105003,1,3282.009765625
2050-001,3,21,110409105003,1,3282.009765625
2051-001,3,21,110409105003,1,3282.009765625
2052-001,3,21,110409105003,1,3282.009765625
