y4_hhid,feafetpf,znafetpf,vaafetpf,folafetpf,vb12afetpf,feafetff,znafetff,vaafetff,folafetff,vb12afetff
1000-001,14.545147376465188,8.5169190461142,200.74391738377878,372.69526502065975,1.1188950915853033,18.918284580987287,14.345899005004235,380.3878022758651,696.0614726260042,2.574737845953238
1001-001,16.106754837400157,7.771733714937103,272.1919189325656,321.9481434941453,1.4981794706937697,19.235019633955662,11.942753443677779,680.2385131796342,579.7929994526597,2.5409344028789387
1002-001,33.216668167917774,19.951776145674522,475.93006907714135,1176.5388200390476,2.249001183249877,38.44617234072091,26.923744726921452,772.8372855719867,1607.559340412145,3.9914655916936668
1003-001,28.323317190767185,14.671301548082642,422.6980312202033,628.6003189027751,2.263516975882496,39.87963118394124,30.079161128774988,714.5683383874388,1581.106920560503,6.11506256340078
1005-001,12.402485492366742,8.797308843694198,573.323312780721,341.62304499741606,2.2965799683883925,18.295342635223886,16.654451700837054,1085.198312780721,827.3373307117018,4.260865682674107
1006-001,15.306227267217386,9.85675342560253,314.281505964444,453.8617400970513,1.4108698409247358,18.35515946709298,13.921401984590712,576.9796191719912,705.1529696222432,2.4265862000373213
1007-001,26.36374730080677,19.911198595695222,593.9570171528264,883.2534974633134,4.80493125140987,32.899272368088454,28.62523201873747,1242.7564147411535,1421.9391999786524,6.983439607170432
1009-001,15.294125436250923,11.49152324409647,547.2775693246126,460.0305065987296,2.888624491470743,17.956223485802848,15.039230149736955,1151.7056136050553,603.4147975844966,3.7742333475593037
1019-001,26.846754450959686,16.94279233294908,757.9042390931075,701.8714888420296,20.251958660077793,35.521436204849365,28.505847495608204,1670.9141400832066,1416.7967505110537,23.14033206884724
1020-001,24.612879072160144,19.619448094040195,669.8820183975384,622.591209384927,13.612729915529304,38.188455891711406,37.71757069554438,1331.7571659670102,1741.4824036981113,18.135275697482225
1021-001,14.813277456139703,9.333909115915477,467.15976119605136,299.87832497791476,3.9030661285238097,15.79542031328256,10.643432925439287,808.7847611960515,380.8307059302957,4.230447080904762
1022-001,22.424158349087342,14.439992169332665,487.8434085073249,527.8103890801505,7.308479785368421,29.18585425552009,23.451896931237428,792.0539348231144,1054.9382086290227,9.558688640840435
1023-001,21.406432473227408,18.650309559753342,695.727881747926,403.217082106862,17.264661728026784,28.028872949417885,27.478840512134298,1243.580381747926,949.0323582973382,19.47075220421726
1024-001,31.93372782211448,14.035545717826293,701.344228293872,720.5433842696935,1.7989233932923463,40.119456023423716,24.945471420208982,1167.7536803540138,1395.1375599569947,4.5231208943658
1025-001,23.854626048541558,13.25854356558279,592.7382421178772,564.8951294656051,6.89761718012987,29.779950723866232,21.157894214933442,965.4200602996954,1006.4535710240466,8.871643154155844
1026-001,24.632347347759275,20.02963592249188,566.3650268539316,370.56740156463627,10.554698556439316,34.4792132369721,33.15377877963474,1212.6568635886256,1076.9910517104088,13.831975524369344
1038-001,27.713066259099346,18.398120546656575,426.9438458680327,599.7016534147061,10.221203137482902,47.62644076845054,44.94540454573301,732.6117747528169,2240.950469854328,16.855112627208143
1039-001,23.512600128335375,10.813953510309043,365.4236776704279,232.97431527451704,5.5218369503823945,30.154014269749517,19.667104063459593,824.0600413067915,780.3367010369027,7.733573362118806
1040-001,28.331107117205573,18.560567467103475,635.946513590768,572.743287596438,14.257735822103658,34.376245373334264,26.61663346624413,1146.209132524142,1014.364513786775,16.268663565115617
1041-001,35.57434786027393,22.913672859825386,926.5633206889954,989.8136263811393,5.357377024507043,53.210539217162086,46.427071894413395,1795.9922889490738,2443.4256841588754,11.234584702206886
1042-001,28.663130196940934,20.891091092048814,963.5988805626486,567.3287714558793,7.423967352254965,35.77323589841435,30.36171569166445,1857.222198948299,968.4364203988646,9.784486250397181
1043-001,19.41605107904001,12.226788447717118,374.27794080287606,400.0560264879449,2.849915289390451,22.993612883153993,16.994801280327042,608.1352723748709,640.4724069370862,4.040366317886394
1044-001,15.947631101647126,10.96904319525828,463.32637499512214,359.6352306947427,3.516738632761701,20.019442652594076,16.396928694612864,788.5505830370694,695.2216251983416,4.872812581169334
